task_id,source_system,department,asset_id,asset_type,corridor_id,section_id,start_km,end_km,defect_type,defect_severity,safety_criticality,failure_probability,asset_importance,operational_impact,detection_date,due_date,overdue_days,estimated_duration_minutes,minimum_block_minutes,disconnection_type,required_team,required_personnel,required_equipment,preferred_start_time,preferred_end_time,dependency_task_ids,compatible_task_ids,weather_sensitive,status,priority_score,priority_level,synthetic_data,priority_breakdown,priority_explanation
TASK-0001,TMS,Engineering,ASSET-SEC-11-0001,Ballast,COR-04,SEC-11,16.28,18.56,Damaged sleeper,2,1,0.349,1,2,2026-07-27,2026-08-13,15,180,195,Track Possession,ENG-Team-03,4,Rail Grinder,22:00:00,23:59:00,,TASK-0020|TASK-0104,False,Pending,35.68,Low,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 13.6, ""failure_probability"": 5.58, ""defect_severity"": 3.5, ""operational_impact"": 3.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0001 received a priority score of 35.7/100 (Low) because it is 15 days overdue, and it can potentially be bundled with 2 cross-department tasks."
TASK-0002,SMMS,Signal & Telecommunication,ASSET-SEC-12-0002,Axle Counter,COR-04,SEC-12,42.37,44.1,Axle counter mismatch,5,4,0.922,3,1,2026-07-30,2026-08-30,0,30,45,Signalling,SNT-Team-02,2,Cable Fault Locator|Signal Tester,14:00:00,17:00:00,,TASK-0106|TASK-0142,False,Pending,61.65,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 2.4, ""failure_probability"": 14.75, ""defect_severity"": 14.0, ""operational_impact"": 0.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0002 received a priority score of 61.6/100 (Medium) because it has high safety criticality, the defect severity is very high, its estimated failure probability is 92%, and it can potentially be bundled with 2 cross-department tasks."
TASK-0003,TDMS,Traction Distribution,ASSET-SEC-06-0003,Insulator,COR-02,SEC-06,44.57,47.03,Feeder voltage anomaly,1,4,0.34,1,2,2026-06-30,2026-08-06,22,90,135,Power,TRD-Team-01,4,OHE Inspection Vehicle,22:00:00,23:59:00,,TASK-0029|TASK-0065|TASK-0080,False,Pending,52.41,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 15.47, ""failure_probability"": 5.44, ""defect_severity"": 0.0, ""operational_impact"": 3.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0003 received a priority score of 52.4/100 (Medium) because it has high safety criticality, it is 22 days overdue, and it can potentially be bundled with 3 cross-department tasks."
TASK-0004,TMS,Engineering,ASSET-SEC-07-0004,Bridge Component,COR-03,SEC-07,5.42,7.4,Insufficient ballast,3,3,0.492,2,4,2026-07-12,2026-07-25,34,120,165,Track Possession,ENG-Team-02,6,Inspection Trolley,00:00:00,04:00:00,,TASK-0066|TASK-0108,False,Pending,62.87,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 16.0, ""failure_probability"": 7.87, ""defect_severity"": 7.0, ""operational_impact"": 9.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0004 received a priority score of 62.9/100 (Medium) because it is 34 days overdue, it can materially affect railway operations, and it can potentially be bundled with 2 cross-department tasks."
TASK-0005,SMMS,Signal & Telecommunication,ASSET-SEC-14-0005,Track Circuit,COR-05,SEC-14,41.29,41.65,Track circuit instability,3,4,0.587,4,2,2026-08-23,2026-10-16,0,45,90,Signalling,SNT-Team-01,3,Track Circuit Meter|Axle Counter Tester,10:30:00,13:30:00,,,False,Pending,50.29,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 2.4, ""failure_probability"": 9.39, ""defect_severity"": 7.0, ""operational_impact"": 3.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}",TASK-0005 received a priority score of 50.3/100 (Medium) because it has high safety criticality.
TASK-0006,TDMS,Traction Distribution,ASSET-SEC-09-0006,Overhead Equipment,COR-03,SEC-09,45.02,46.86,Contact wire wear,3,2,0.609,2,2,2026-06-14,2026-07-12,47,60,105,Power and Track,TRD-Team-02,3,OHE Inspection Vehicle,14:00:00,17:00:00,,,False,Pending,49.24,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 16.0, ""failure_probability"": 9.74, ""defect_severity"": 7.0, ""operational_impact"": 3.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}",TASK-0006 received a priority score of 49.2/100 (Medium) because it is 47 days overdue.
TASK-0007,TMS,Engineering,ASSET-SEC-10-0007,Rail,COR-04,SEC-10,13.95,14.34,Rail surface defect,1,1,0.25,4,1,2026-06-18,2026-08-15,13,180,210,Power and Track,ENG-Team-03,8,Ultrasonic Rail Tester|Rail Grinder,10:30:00,13:30:00,,TASK-0164,False,Pending,31.07,Low,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 13.07, ""failure_probability"": 4.0, ""defect_severity"": 0.0, ""operational_impact"": 0.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0007 received a priority score of 31.1/100 (Low) because it is 13 days overdue, and it can potentially be bundled with 1 cross-department task."
TASK-0008,SMMS,Signal & Telecommunication,ASSET-SEC-13-0008,Communication Cable,COR-05,SEC-13,4.2,6.96,Communication link degradation,5,5,0.85,4,1,2026-06-08,2026-06-30,59,60,75,Signalling,SNT-Team-02,4,Axle Counter Tester,22:00:00,23:59:00,,,False,Pending,77.6,High,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 16.0, ""failure_probability"": 13.6, ""defect_severity"": 14.0, ""operational_impact"": 0.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0008 received a priority score of 77.6/100 (High) because it is safety-critical, it is 59 days overdue, the defect severity is very high, and its estimated failure probability is 85%."
TASK-0009,TDMS,Traction Distribution,ASSET-SEC-04-0009,Feeder,COR-02,SEC-04,13.61,15.88,OHE alignment deviation,4,1,0.624,5,5,2026-08-17,2026-10-05,0,150,165,Power,TRD-Team-01,4,Contact Wire Gauge,01:00:00,05:00:00,,TASK-0131,False,Pending,50.88,Medium,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 2.4, ""failure_probability"": 9.98, ""defect_severity"": 10.5, ""operational_impact"": 12.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0009 received a priority score of 50.9/100 (Medium) because the defect severity is high, it can materially affect railway operations, and it can potentially be bundled with 1 cross-department task."
TASK-0010,TMS,Engineering,ASSET-SEC-07-0010,Rail,COR-03,SEC-07,19.41,19.86,Rail surface defect,5,4,0.75,1,1,2026-07-02,2026-08-31,0,90,105,Power and Track,ENG-Team-03,4,Inspection Trolley,10:30:00,13:30:00,,,True,Pending,50.9,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 2.4, ""failure_probability"": 12.0, ""defect_severity"": 14.0, ""operational_impact"": 0.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0010 received a priority score of 50.9/100 (Medium) because it has high safety criticality, the defect severity is very high, and its estimated failure probability is 75%."
