task_id,source_system,department,asset_id,asset_type,corridor_id,section_id,start_km,end_km,defect_type,defect_severity,safety_criticality,failure_probability,asset_importance,operational_impact,detection_date,due_date,overdue_days,estimated_duration_minutes,minimum_block_minutes,disconnection_type,required_team,required_personnel,required_equipment,preferred_start_time,preferred_end_time,dependency_task_ids,compatible_task_ids,weather_sensitive,status,priority_score,priority_level,synthetic_data
TASK-0001,TMS,Engineering,ASSET-SEC-11-0001,Ballast,COR-04,SEC-11,16.28,18.56,Damaged sleeper,2,1,0.349,1,2,2026-07-27,2026-08-13,15,180,195,Track Possession,ENG-Team-03,4,Rail Grinder,22:00:00,23:59:00,,TASK-0020|TASK-0104,False,Pending,,,True
TASK-0002,SMMS,Signal & Telecommunication,ASSET-SEC-12-0002,Axle Counter,COR-04,SEC-12,42.37,44.1,Axle counter mismatch,5,4,0.922,3,1,2026-07-30,2026-08-30,0,30,45,Signalling,SNT-Team-02,2,Cable Fault Locator|Signal Tester,14:00:00,17:00:00,,TASK-0106|TASK-0142,False,Pending,,,True
TASK-0003,TDMS,Traction Distribution,ASSET-SEC-06-0003,Insulator,COR-02,SEC-06,44.57,47.03,Feeder voltage anomaly,1,4,0.34,1,2,2026-06-30,2026-08-06,22,90,135,Power,TRD-Team-01,4,OHE Inspection Vehicle,22:00:00,23:59:00,,TASK-0029|TASK-0065|TASK-0080,False,Pending,,,True
TASK-0004,TMS,Engineering,ASSET-SEC-07-0004,Bridge Component,COR-03,SEC-07,5.42,7.4,Insufficient ballast,3,3,0.492,2,4,2026-07-12,2026-07-25,34,120,165,Track Possession,ENG-Team-02,6,Inspection Trolley,00:00:00,04:00:00,,TASK-0066|TASK-0108,False,Pending,,,True
TASK-0005,SMMS,Signal & Telecommunication,ASSET-SEC-14-0005,Track Circuit,COR-05,SEC-14,41.29,41.65,Track circuit instability,3,4,0.587,4,2,2026-08-23,2026-10-16,0,45,90,Signalling,SNT-Team-01,3,Track Circuit Meter|Axle Counter Tester,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0006,TDMS,Traction Distribution,ASSET-SEC-09-0006,Overhead Equipment,COR-03,SEC-09,45.02,46.86,Contact wire wear,3,2,0.609,2,2,2026-06-14,2026-07-12,47,60,105,Power and Track,TRD-Team-02,3,OHE Inspection Vehicle,14:00:00,17:00:00,,,False,Pending,,,True
TASK-0007,TMS,Engineering,ASSET-SEC-10-0007,Rail,COR-04,SEC-10,13.95,14.34,Rail surface defect,1,1,0.25,4,1,2026-06-18,2026-08-15,13,180,210,Power and Track,ENG-Team-03,8,Ultrasonic Rail Tester|Rail Grinder,10:30:00,13:30:00,,TASK-0164,False,Pending,,,True
TASK-0008,SMMS,Signal & Telecommunication,ASSET-SEC-13-0008,Communication Cable,COR-05,SEC-13,4.2,6.96,Communication link degradation,5,5,0.85,4,1,2026-06-08,2026-06-30,59,60,75,Signalling,SNT-Team-02,4,Axle Counter Tester,22:00:00,23:59:00,,,False,Pending,,,True
TASK-0009,TDMS,Traction Distribution,ASSET-SEC-04-0009,Feeder,COR-02,SEC-04,13.61,15.88,OHE alignment deviation,4,1,0.624,5,5,2026-08-17,2026-10-05,0,150,165,Power,TRD-Team-01,4,Contact Wire Gauge,01:00:00,05:00:00,,TASK-0131,False,Pending,,,True
TASK-0010,TMS,Engineering,ASSET-SEC-07-0010,Rail,COR-03,SEC-07,19.41,19.86,Rail surface defect,5,4,0.75,1,1,2026-07-02,2026-08-31,0,90,105,Power and Track,ENG-Team-03,4,Inspection Trolley,10:30:00,13:30:00,,,True,Pending,,,True
TASK-0011,SMMS,Signal & Telecommunication,ASSET-SEC-15-0011,Communication Cable,COR-05,SEC-15,47.77,48.9,Communication link degradation,3,4,0.574,4,2,2026-06-23,2026-07-11,48,45,90,Signalling,SNT-Team-01,5,Cable Fault Locator|Track Circuit Meter,22:00:00,23:59:00,,TASK-0013|TASK-0121,False,Pending,,,True
TASK-0012,TDMS,Traction Distribution,ASSET-SEC-07-0012,Contact Wire,COR-03,SEC-07,9.11,11.35,Insulator degradation,1,1,0.181,2,4,2026-06-02,2026-07-16,43,90,105,Power,TRD-Team-02,8,Tower Wagon,01:00:00,05:00:00,,TASK-0040|TASK-0071,True,Pending,,,True
TASK-0013,TMS,Engineering,ASSET-SEC-15-0013,Ballast,COR-05,SEC-15,48.85,51.31,Damaged sleeper,1,5,0.609,4,1,2026-06-18,2026-06-27,62,60,75,Track Possession,ENG-Team-02,4,Ultrasonic Rail Tester|Rail Grinder,01:00:00,05:00:00,,TASK-0011|TASK-0017,False,Pending,,,True
TASK-0014,SMMS,Signal & Telecommunication,ASSET-SEC-05-0014,Communication Cable,COR-02,SEC-05,32.21,33.66,Communication link degradation,5,4,0.759,1,1,2026-07-22,2026-08-21,7,60,75,Track Possession,SNT-Team-02,3,Axle Counter Tester,00:00:00,04:00:00,,TASK-0099,True,Pending,,,True
TASK-0015,TDMS,Traction Distribution,ASSET-SEC-09-0015,Sectioning Equipment,COR-03,SEC-09,41.18,41.9,Sectioning equipment fault,2,4,0.45,4,5,2026-06-12,2026-06-19,70,150,165,Power and Track,TRD-Team-03,6,OHE Inspection Vehicle,22:00:00,23:59:00,,,False,Pending,,,True
TASK-0016,TMS,Engineering,ASSET-SEC-04-0016,Bridge Component,COR-02,SEC-04,10.38,11.46,Insufficient ballast,2,3,0.454,5,2,2026-07-25,2026-08-22,6,60,75,Power and Track,ENG-Team-02,6,Rail Grinder,14:00:00,17:00:00,,TASK-0123|TASK-0197,False,Pending,,,True
